1759	1759	0	1	8	0
1758	1758	0	1	8	1
1757	1757	0	1	8	2
1756	1756	0	1	8	3
1755	1755	0	1	8	4
1754	1754	0	1	8	5
1753	1753	0	1	8	6
1752	1752	0	1	8	7
1751	1751	0	1	8	8
1750	1750	0	1	8	9
1749	1749	0	1	8	10
1748	1748	0	1	8	11
1747	1747	0	1	8	12
1746	1746	0	1	8	13
1745	1745	0	1	8	14
1744	1744	0	1	8	15
1743	1743	0	1	8	16
1742	1742	0	1	8	17
1741	1741	0	1	8	18
1740	1740	0	1	8	19
1739	1739	0	1	8	20
1738	1738	0	1	8	21
1737	1737	0	1	8	22
1736	1736	0	1	8	23
1735	1735	0	1	8	24
1734	1734	0	1	8	25
1733	1733	0	1	8	26
1732	1732	0	1	8	27
1731	1731	0	1	8	28
1730	1730	0	1	8	29
1729	1729	0	1	8	30
1728	1728	0	1	8	31
10832	-1	-1	1	8	32
10833	-1	-1	1	8	33
10834	-1	-1	1	8	34
10835	-1	-1	1	8	35
10836	-1	-1	1	8	36
10837	-1	-1	1	8	37
10838	-1	-1	1	8	38
10839	-1	-1	1	8	39
10840	-1	-1	1	8	40
10841	-1	-1	1	8	41
10842	-1	-1	1	8	42
10843	-1	-1	1	8	43
10844	-1	-1	1	8	44
10845	-1	-1	1	8	45
10846	-1	-1	1	8	46
10847	-1	-1	1	8	47
10848	-1	-1	1	8	48
10849	-1	-1	1	8	49
10850	-1	-1	1	8	50
10851	-1	-1	1	8	51
10852	-1	-1	1	8	52
10853	-1	-1	1	8	53
10854	-1	-1	1	8	54
10855	-1	-1	1	8	55
10856	-1	-1	1	8	56
10857	-1	-1	1	8	57
10858	-1	-1	1	8	58
10859	-1	-1	1	8	59
10860	-1	-1	1	8	60
10861	-1	-1	1	8	61
10862	-1	-1	1	8	62
10863	-1	-1	1	8	63
1823	1823	0	1	9	0
1822	1822	0	1	9	1
1821	1821	0	1	9	2
1820	1820	0	1	9	3
1819	1819	0	1	9	4
1818	1818	0	1	9	5
1817	1817	0	1	9	6
1816	1816	0	1	9	7
1815	1815	0	1	9	8
1814	1814	0	1	9	9
1813	1813	0	1	9	10
1812	1812	0	1	9	11
